model_id,display_name,provider,market_status,serving_mode,server_country,server_country_status,server_country_source,server_country_source_url,estimation_country_code,estimation_country_status,estimation_country_source,estimation_country_source_url,active_parameters_billion,total_parameters_billion,parameter_value_status,parameter_confidence,parameter_source,parameter_source_url,notes,input_modalities,output_modalities,context_window_tokens,max_output_tokens,vision_support,architecture_notes,modalities_source,modalities_source_url,context_source,context_source_url,architecture_source,architecture_source_url,release_date,release_source,release_source_url,screening_method_id,screening_reference_anchor,screening_effective_active_parameters_billion_low,screening_effective_active_parameters_billion_central,screening_effective_active_parameters_billion_high,screening_per_request_energy_wh_low,screening_per_request_energy_wh_central,screening_per_request_energy_wh_high,screening_per_request_carbon_gco2e_low,screening_per_request_carbon_gco2e_central,screening_per_request_carbon_gco2e_high,screening_per_hour_energy_wh_low,screening_per_hour_energy_wh_central,screening_per_hour_energy_wh_high,screening_per_hour_carbon_gco2e_low,screening_per_hour_carbon_gco2e_central,screening_per_hour_carbon_gco2e_high,screening_notes,training_tokens_estimate_trillion,training_tokens_status,training_tokens_source,training_tokens_source_url,training_regime,training_regime_status,training_regime_source,training_regime_source_url,training_multimodal,training_multimodal_source,training_multimodal_source_url,training_hardware_class_proxy,training_hardware_source,training_hardware_source_url,training_multifactor_method_id,training_multifactor_anchor,training_f_params_low,training_f_params_central,training_f_params_high,training_f_tokens_low,training_f_tokens_central,training_f_tokens_high,training_f_regime_low,training_f_regime_central,training_f_regime_high,training_f_arch_low,training_f_arch_central,training_f_arch_high,training_f_hardware_low,training_f_hardware_central,training_f_hardware_high,training_energy_wh_low,training_energy_wh_central,training_energy_wh_high,training_carbon_tco2e_low,training_carbon_tco2e_central,training_carbon_tco2e_high,training_multifactor_notes
mistral-large,Mistral Large,mistral,api,closed,France or EU region not publicly specified,provider_country_proxy,Mistral Large 2 launch note,https://mistral.ai/news/mistral-large-2407/,FR,provider_country_proxy,Mistral provider country retained as screening proxy,https://docs.mistral.ai/getting-started/models/models_overview/,123,123,observed,medium,Mistral Large 2 launch note,https://mistral.ai/news/mistral-large-2407/,Mistral documents Mistral Large 2 as a 123B-parameter model; this value is used as the closest public screening proxy for Mistral Large-family API scenarios.,"text,image",text,128000,,yes,"Commercial large model family; Mistral Large 2.1 docs expose a 128k context window, while the July 2024 launch note documents 123B parameters for Large 2.",Mistral Large 2.1 - Mistral Docs,https://docs.mistral.ai/models/mistral-large-2-1-24-11,Mistral Large 2.1 - Mistral Docs,https://docs.mistral.ai/models/mistral-large-2-1-24-11,Mistral Large 2.1 - Mistral Docs; Mistral Large 2 launch note,https://docs.mistral.ai/models/mistral-large-2-1-24-11 | https://mistral.ai/news/mistral-large-2407/,2024-07-24,Large Enough | Mistral AI,https://mistral.ai/news/mistral-large-2407,market_multifactor_prompt_proxy_v1,Elsworth et al. (2025) Gemini Apps median prompt = 0.24 Wh/prompt,139.4433,154.3635,171.8339,0.1932,0.2074,0.2286,0.0077,0.0083,0.0091,6.6847,7.1760,7.9096,0.2664,0.2872,0.3149,"Proxy de screening en énergie par prompt calibré sur Elsworth et al. (2025), puis ajusté par les paramètres actifs effectifs, les hypothèses de service, l’overhead d’architecture et un volume de tokens pondéré.",2.4600,screening_prior,Project screening prior (20 training tokens per retained parameter),,pretraining,screening_prior,Project screening prior (foundation-model pretraining default),,yes,Mistral Large 2.1 - Mistral Docs,https://docs.mistral.ai/models/mistral-large-2-1-24-11,modern_hyperscale_gpu,Project screening prior from market status and serving mode,,training_multifactor_proxy_v1,BLOOM 176B (luccioni2023_bloom_dynamic); BLOOM 176B (luccioni2023_bloom_extended); Llama 3.1 8B (meta2024_llama8b_emissions); Llama 3.1 70B (meta2024_llama70b_emissions); Llama 3.1 405B (meta2024_llama405b_emissions); Llama 4 Scout (meta2025_llama4_scout_emissions); Llama 4 Maverick (meta2025_llama4_maverick_emissions),0.8500,1.0000,1.1500,0.7000,1.0000,1.2000,0.8000,1.0000,1.2000,1.0500,1.1500,1.3500,0.8000,0.9000,1.0000,281773678.5097,281773678.5097,330195895.0814,88.7430,97.2552,143.1553,"Central estimate = median of comparable literature training anchors scaled by retained parameter count, training-token prior, training regime, architecture profile, and hardware-class proxy. Low/high values widen the parameter and token exponents together with contextual factors."
mistral-small-3.1-24b,Mistral Small 3.1 24B,mistral,api_and_open_weight,hybrid,France (provider proxy),provider_country_proxy,Mistral model overview,https://docs.mistral.ai/getting-started/models/models_overview/,FR,provider_country_proxy,Mistral provider country retained as screening proxy,https://docs.mistral.ai/getting-started/models/models_overview/,24,24,observed,medium,Mistral model overview,https://docs.mistral.ai/getting-started/models/models_overview/,Server country not explicitly documented; France retained as provider-country proxy.,"text,image",text,128000,,yes,Open 24B model with image understanding in the 3.1 release line.,Mistral Small 3.1 - Mistral Docs,https://docs.mistral.ai/models/mistral-small-3-1-25-03,Mistral Small 3.1 - Mistral Docs,https://docs.mistral.ai/models/mistral-small-3-1-25-03,Mistral Small 3.1 - Mistral Docs,https://docs.mistral.ai/models/mistral-small-3-1-25-03,2025-03-17,Mistral Small 3.1 | Mistral AI,https://mistral.ai/en/news/mistral-small-3-1,market_multifactor_prompt_proxy_v1,Elsworth et al. (2025) Gemini Apps median prompt = 0.24 Wh/prompt,25.9488,28.2703,30.7345,0.0375,0.0413,0.0463,0.0015,0.0017,0.0019,1.2975,1.4290,1.6020,0.0519,0.0588,0.0657,"Proxy de screening en énergie par prompt calibré sur Elsworth et al. (2025), puis ajusté par les paramètres actifs effectifs, les hypothèses de service, l’overhead d’architecture et un volume de tokens pondéré.",0.4800,screening_prior,Project screening prior (20 training tokens per retained parameter),,pretraining,screening_prior,Project screening prior (foundation-model pretraining default),,yes,Mistral Small 3.1 - Mistral Docs,https://docs.mistral.ai/models/mistral-small-3-1-25-03,mixed_gpu_cluster,Project screening prior from market status and serving mode,,training_multifactor_proxy_v1,BLOOM 176B (luccioni2023_bloom_dynamic); BLOOM 176B (luccioni2023_bloom_extended); Llama 3.1 8B (meta2024_llama8b_emissions); Llama 3.1 70B (meta2024_llama70b_emissions); Llama 3.1 405B (meta2024_llama405b_emissions); Llama 4 Scout (meta2025_llama4_scout_emissions); Llama 4 Maverick (meta2025_llama4_maverick_emissions),0.8500,1.0000,1.1500,0.7000,1.0000,1.2000,0.8000,1.0000,1.2000,1.0500,1.1500,1.3500,0.9000,1.0000,1.1000,7805195.0636,11919833.0522,27172342.4551,2.0977,4.1142,12.7919,"Central estimate = median of comparable literature training anchors scaled by retained parameter count, training-token prior, training regime, architecture profile, and hardware-class proxy. Low/high values widen the parameter and token exponents together with contextual factors."
codestral-22b,Codestral 22B,mistral,api_and_open_weight,hybrid,France (provider proxy),provider_country_proxy,Mistral model overview,https://docs.mistral.ai/getting-started/models/models_overview/,FR,provider_country_proxy,Mistral provider country retained as screening proxy,https://docs.mistral.ai/getting-started/models/models_overview/,22,22,observed,medium,Mistral model overview,https://docs.mistral.ai/getting-started/models/models_overview/,Server country not explicitly documented; France retained as provider-country proxy.,text,"text,code",32000,,no,"Open coding model; Mistral docs expose 22B parameters, 22B active parameters, and a 32k context window.",Codestral - Mistral Docs,https://docs.mistral.ai/models/codestral-24-05,Codestral - Mistral Docs,https://docs.mistral.ai/models/codestral-24-05,Codestral - Mistral Docs,https://docs.mistral.ai/models/codestral-24-05,2024-05-29,Codestral | Mistral AI,https://mistral.ai/fr/news/codestral,market_multifactor_prompt_proxy_v1,Elsworth et al. (2025) Gemini Apps median prompt = 0.24 Wh/prompt,22.6600,23.5400,24.2000,0.0292,0.0347,0.0412,0.0012,0.0014,0.0016,1.0103,1.2006,1.4255,0.0415,0.0484,0.0554,"Proxy de screening en énergie par prompt calibré sur Elsworth et al. (2025), puis ajusté par les paramètres actifs effectifs, les hypothèses de service, l’overhead d’architecture et un volume de tokens pondéré.",0.4400,screening_prior,Project screening prior (20 training tokens per retained parameter),,pretraining,screening_prior,Project screening prior (foundation-model pretraining default),,no,Codestral - Mistral Docs,https://docs.mistral.ai/models/codestral-24-05,mixed_gpu_cluster,Project screening prior from market status and serving mode,,training_multifactor_proxy_v1,BLOOM 176B (luccioni2023_bloom_dynamic); BLOOM 176B (luccioni2023_bloom_extended); Llama 3.1 8B (meta2024_llama8b_emissions); Llama 3.1 70B (meta2024_llama70b_emissions); Llama 3.1 405B (meta2024_llama405b_emissions); Llama 4 Scout (meta2025_llama4_scout_emissions); Llama 4 Maverick (meta2025_llama4_maverick_emissions),0.8500,1.0000,1.1500,0.7000,1.0000,1.2000,0.8000,1.0000,1.2000,1.0000,1.0000,1.0000,0.9000,1.0000,1.1000,4712451.2949,8709539.8509,22613381.5714,1.2665,3.0061,10.6457,"Central estimate = median of comparable literature training anchors scaled by retained parameter count, training-token prior, training regime, architecture profile, and hardware-class proxy. Low/high values widen the parameter and token exponents together with contextual factors."
qwen2.5-7b,Qwen2.5 7B,alibaba,open_weight,open,China (provider proxy),provider_country_proxy,Qwen model card,https://huggingface.co/Qwen/Qwen2.5-7B-Instruct,CN,provider_country_proxy,Alibaba provider country retained as screening proxy,https://huggingface.co/Qwen/Qwen2.5-7B-Instruct,7,7,observed,high,Qwen2.5 7B model card,https://huggingface.co/Qwen/Qwen2.5-7B-Instruct,Open-weight model; server country depends on deployment location.,text,text,131072,8192,no,"Open dense transformer with RoPE, SwiGLU, RMSNorm, attention QKV bias, and GQA; official card reports 7.6B total parameters and long-context support via YaRN.",Qwen2.5 7B model card,https://huggingface.co/Qwen/Qwen2.5-7B-Instruct,Qwen2.5 7B model card,https://huggingface.co/Qwen/Qwen2.5-7B-Instruct,Qwen2.5 7B model card,https://huggingface.co/Qwen/Qwen2.5-7B-Instruct,,,,market_multifactor_prompt_proxy_v1,Elsworth et al. (2025) Gemini Apps median prompt = 0.24 Wh/prompt,7.2800,7.4900,7.8540,0.0090,0.0117,0.0157,0.0048,0.0063,0.0085,0.3114,0.4048,0.5432,0.1661,0.2180,0.2941,"Proxy de screening en énergie par prompt calibré sur Elsworth et al. (2025), puis ajusté par les paramètres actifs effectifs, les hypothèses de service, l’overhead d’architecture et un volume de tokens pondéré.",0.1400,screening_prior,Project screening prior (20 training tokens per retained parameter),,pretraining,screening_prior,Project screening prior (foundation-model pretraining default),,no,Qwen2.5 7B model card,https://huggingface.co/Qwen/Qwen2.5-7B-Instruct,standard_gpu_cluster,Project screening prior from market status and serving mode,,training_multifactor_proxy_v1,Llama 3.1 8B (meta2024_llama8b_emissions); Llama 3.1 70B (meta2024_llama70b_emissions); Llama 4 Scout (meta2025_llama4_scout_emissions),0.8500,1.0000,1.1500,0.7000,1.0000,1.2000,0.8000,1.0000,1.2000,1.0000,1.0000,1.0000,0.9500,1.0500,1.1500,232087.1296,826032.1101,4923229.4686,0.7304,1.9992,8.3075,"Central estimate = median of comparable literature training anchors scaled by retained parameter count, training-token prior, training regime, architecture profile, and hardware-class proxy. Low/high values widen the parameter and token exponents together with contextual factors."
qwen2.5-32b,Qwen2.5 32B,alibaba,open_weight,open,China (provider proxy),provider_country_proxy,Qwen model card,https://huggingface.co/Qwen/Qwen2.5-32B-Instruct,CN,provider_country_proxy,Alibaba provider country retained as screening proxy,https://huggingface.co/Qwen/Qwen2.5-32B-Instruct,32,32,observed,high,Qwen2.5 32B model card,https://huggingface.co/Qwen/Qwen2.5-32B-Instruct,Open-weight model; server country depends on deployment location.,text,text,131072,8192,no,"Open dense transformer with RoPE, SwiGLU, RMSNorm, attention QKV bias, and GQA; official card reports 32.5B total parameters and long-context support via YaRN.",Qwen2.5 32B model card,https://huggingface.co/Qwen/Qwen2.5-32B-Instruct,Qwen2.5 32B model card,https://huggingface.co/Qwen/Qwen2.5-32B-Instruct,Qwen2.5 32B model card,https://huggingface.co/Qwen/Qwen2.5-32B-Instruct,,,,market_multifactor_prompt_proxy_v1,Elsworth et al. (2025) Gemini Apps median prompt = 0.24 Wh/prompt,33.2800,34.2400,35.9040,0.0442,0.0496,0.0572,0.0238,0.0268,0.0309,1.5293,1.7162,1.9791,0.8235,0.9273,1.0691,"Proxy de screening en énergie par prompt calibré sur Elsworth et al. (2025), puis ajusté par les paramètres actifs effectifs, les hypothèses de service, l’overhead d’architecture et un volume de tokens pondéré.",0.6400,screening_prior,Project screening prior (20 training tokens per retained parameter),,pretraining,screening_prior,Project screening prior (foundation-model pretraining default),,no,Qwen2.5 32B model card,https://huggingface.co/Qwen/Qwen2.5-32B-Instruct,standard_gpu_cluster,Project screening prior from market status and serving mode,,training_multifactor_proxy_v1,BLOOM 176B (luccioni2023_bloom_dynamic); BLOOM 176B (luccioni2023_bloom_extended); Llama 3.1 8B (meta2024_llama8b_emissions); Llama 3.1 70B (meta2024_llama70b_emissions); Llama 3.1 405B (meta2024_llama405b_emissions); Llama 4 Scout (meta2025_llama4_scout_emissions); Llama 4 Maverick (meta2025_llama4_maverick_emissions),0.8500,1.0000,1.1500,0.7000,1.0000,1.2000,0.8000,1.0000,1.2000,1.0000,1.0000,1.0000,0.9500,1.0500,1.1500,11883959.9340,19348134.8093,42665212.9799,3.1939,6.6781,20.0854,"Central estimate = median of comparable literature training anchors scaled by retained parameter count, training-token prior, training regime, architecture profile, and hardware-class proxy. Low/high values widen the parameter and token exponents together with contextual factors."
qwen2.5-72b,Qwen2.5 72B,alibaba,open_weight,open,China (provider proxy),provider_country_proxy,Qwen model card,https://huggingface.co/Qwen/Qwen2.5-72B-Instruct,CN,provider_country_proxy,Alibaba provider country retained as screening proxy,https://huggingface.co/Qwen/Qwen2.5-72B-Instruct,72,72,observed,high,Qwen2.5 72B model card,https://huggingface.co/Qwen/Qwen2.5-72B-Instruct,Open-weight model; server country depends on deployment location.,text,text,131072,8192,no,"Open dense transformer with RoPE, SwiGLU, RMSNorm, attention QKV bias, and GQA; official card reports 72.7B total parameters and long-context support via YaRN.",Qwen2.5 72B model card,https://huggingface.co/Qwen/Qwen2.5-72B-Instruct,Qwen2.5 72B model card,https://huggingface.co/Qwen/Qwen2.5-72B-Instruct,Qwen2.5 72B model card,https://huggingface.co/Qwen/Qwen2.5-72B-Instruct,2024-09-19,Qwen2.5: A Party of Foundation Models! | Qwen,https://qwenlm.github.io/blog/qwen2.5/,market_multifactor_prompt_proxy_v1,Elsworth et al. (2025) Gemini Apps median prompt = 0.24 Wh/prompt,74.8800,77.0400,80.7840,0.1035,0.1072,0.1139,0.0559,0.0579,0.0615,3.5811,3.7091,3.9409,1.9341,2.0033,2.1279,"Proxy de screening en énergie par prompt calibré sur Elsworth et al. (2025), puis ajusté par les paramètres actifs effectifs, les hypothèses de service, l’overhead d’architecture et un volume de tokens pondéré.",1.4400,screening_prior,Project screening prior (20 training tokens per retained parameter),,pretraining,screening_prior,Project screening prior (foundation-model pretraining default),,no,Qwen2.5 72B model card,https://huggingface.co/Qwen/Qwen2.5-72B-Instruct,standard_gpu_cluster,Project screening prior from market status and serving mode,,training_multifactor_proxy_v1,BLOOM 176B (luccioni2023_bloom_dynamic); BLOOM 176B (luccioni2023_bloom_extended); Llama 3.1 8B (meta2024_llama8b_emissions); Llama 3.1 70B (meta2024_llama70b_emissions); Llama 3.1 405B (meta2024_llama405b_emissions); Llama 4 Scout (meta2025_llama4_scout_emissions); Llama 4 Maverick (meta2025_llama4_maverick_emissions),0.8500,1.0000,1.1500,0.7000,1.0000,1.2000,0.8000,1.0000,1.2000,1.0000,1.0000,1.0000,0.9500,1.0500,1.1500,79907969.7442,97949932.4721,149953573.9249,21.4760,33.8078,70.5934,"Central estimate = median of comparable literature training anchors scaled by retained parameter count, training-token prior, training regime, architecture profile, and hardware-class proxy. Low/high values widen the parameter and token exponents together with contextual factors."
deepseek-v3,DeepSeek V3,deepseek,api_and_open_weight,hybrid,China (provider proxy),provider_country_proxy,DeepSeek model card,https://huggingface.co/deepseek-ai/DeepSeek-V3,CN,provider_country_proxy,DeepSeek provider country retained as screening proxy,https://huggingface.co/deepseek-ai/DeepSeek-V3,37,671,observed,high,DeepSeek-V3 model card,https://huggingface.co/deepseek-ai/DeepSeek-V3,Mixture-of-experts model with 37B activated parameters.,text,text,128000,,no,Open MoE model; DeepSeek-V3 repository reports 671B total parameters and 37B activated parameters.,deepseek-ai/DeepSeek-V3,https://github.com/deepseek-ai/DeepSeek-V3,deepseek-ai/DeepSeek-V3,https://github.com/deepseek-ai/DeepSeek-V3,deepseek-ai/DeepSeek-V3,https://github.com/deepseek-ai/DeepSeek-V3,2024-12-26,Introducing DeepSeek-V3 | DeepSeek,https://api-docs.deepseek.com/news/news1226,market_multifactor_prompt_proxy_v1,Elsworth et al. (2025) Gemini Apps median prompt = 0.24 Wh/prompt,46.2320,56.4661,67.1259,0.0756,0.0798,0.0852,0.0408,0.0431,0.0460,2.6158,2.7611,2.9479,1.4117,1.4913,1.5916,"Proxy de screening en énergie par prompt calibré sur Elsworth et al. (2025), puis ajusté par les paramètres actifs effectifs, les hypothèses de service, l’overhead d’architecture et un volume de tokens pondéré.",13.4200,screening_prior,Project screening prior (20 training tokens per retained parameter),,pretraining,screening_prior,Project screening prior (foundation-model pretraining default),,no,deepseek-ai/DeepSeek-V3,https://github.com/deepseek-ai/DeepSeek-V3,mixed_gpu_cluster,Project screening prior from market status and serving mode,,training_multifactor_proxy_v1,BLOOM 176B (luccioni2023_bloom_dynamic); BLOOM 176B (luccioni2023_bloom_extended); Llama 3.1 70B (meta2024_llama70b_emissions); Llama 3.1 405B (meta2024_llama405b_emissions); Llama 4 Scout (meta2025_llama4_scout_emissions); Llama 4 Maverick (meta2025_llama4_maverick_emissions),0.8500,1.0000,1.1500,0.7000,1.0000,1.2000,0.8000,1.0000,1.2000,0.7000,0.9000,1.1000,0.9000,1.0000,1.1000,3163212017.7403,7291844501.6843,15949393839.7314,923.0767,1588.7144,2994.5468,"Central estimate = median of comparable literature training anchors scaled by retained parameter count, training-token prior, training regime, architecture profile, and hardware-class proxy. Low/high values widen the parameter and token exponents together with contextual factors."
deepseek-r1,DeepSeek R1,deepseek,api_and_open_weight,hybrid,China (provider proxy),provider_country_proxy,DeepSeek model card,https://huggingface.co/deepseek-ai/DeepSeek-R1,CN,provider_country_proxy,DeepSeek provider country retained as screening proxy,https://huggingface.co/deepseek-ai/DeepSeek-R1,37,671,observed,high,DeepSeek-R1 model card,https://huggingface.co/deepseek-ai/DeepSeek-R1,The model card states that DeepSeek-R1 is based on DeepSeek-V3-Base.,text,text,128000,,no,Open reasoning MoE model built on DeepSeek-V3-Base; official card reports 671B total parameters and 37B activated parameters.,deepseek-ai/DeepSeek-R1,https://huggingface.co/deepseek-ai/DeepSeek-R1,deepseek-ai/DeepSeek-R1,https://huggingface.co/deepseek-ai/DeepSeek-R1,deepseek-ai/DeepSeek-R1,https://huggingface.co/deepseek-ai/DeepSeek-R1,,,,market_multifactor_prompt_proxy_v1,Elsworth et al. (2025) Gemini Apps median prompt = 0.24 Wh/prompt,47.1566,59.2894,72.4960,0.0769,0.0836,0.0924,0.0415,0.0451,0.0499,2.6607,2.8926,3.1970,1.4359,1.5605,1.7265,"Proxy de screening en énergie par prompt calibré sur Elsworth et al. (2025), puis ajusté par les paramètres actifs effectifs, les hypothèses de service, l’overhead d’architecture et un volume de tokens pondéré.",13.4200,screening_prior,Project screening prior (20 training tokens per retained parameter),,pretraining,screening_prior,Project screening prior (foundation-model pretraining default),,no,deepseek-ai/DeepSeek-R1,https://huggingface.co/deepseek-ai/DeepSeek-R1,mixed_gpu_cluster,Project screening prior from market status and serving mode,,training_multifactor_proxy_v1,BLOOM 176B (luccioni2023_bloom_dynamic); BLOOM 176B (luccioni2023_bloom_extended); Llama 3.1 70B (meta2024_llama70b_emissions); Llama 3.1 405B (meta2024_llama405b_emissions); Llama 4 Scout (meta2025_llama4_scout_emissions); Llama 4 Maverick (meta2025_llama4_maverick_emissions),0.8500,1.0000,1.1500,0.7000,1.0000,1.2000,0.8000,1.0000,1.2000,0.7000,0.9000,1.1000,0.9000,1.0000,1.1000,3163212017.7403,7291844501.6843,15949393839.7314,923.0767,1588.7144,2994.5468,"Central estimate = median of comparable literature training anchors scaled by retained parameter count, training-token prior, training regime, architecture profile, and hardware-class proxy. Low/high values widen the parameter and token exponents together with contextual factors."
gpt-3.5-turbo,GPT-3.5 Turbo,openai,api,closed,United States,multi_region,ChatGPT launch blog,https://openai.com/blog/chatgpt,US,screening_proxy,ChatGPT launch blog,https://openai.com/blog/chatgpt,175,175,estimated,low,Third-party screening estimate from Nexos,https://nexos.ai/blog/chatgpt-version-history/,GPT-3.5 Turbo powers ChatGPT since November 2022 and relies on the GPT-3 architecture at ~175B parameters.,text,text,4096,4096,no,Decoder transformer with RLHF tuned on conversational data per ChatGPT release notes.,OpenAI ChatGPT blog,https://openai.com/blog/chatgpt,OpenAI ChatGPT blog,https://openai.com/blog/chatgpt,OpenAI ChatGPT blog,https://openai.com/blog/chatgpt,2022-11-30,ChatGPT launch blog,https://openai.com/blog/chatgpt,market_multifactor_prompt_proxy_v1,Elsworth et al. (2025) Gemini Apps median prompt = 0.24 Wh/prompt,189.0000,199.5000,210.0000,0.2502,0.2646,0.2822,0.0963,0.1019,0.1086,8.6569,9.1552,9.7641,3.3320,3.5257,3.7576,"Proxy de screening en énergie par prompt calibré sur Elsworth et al. (2025), puis ajusté par les paramètres actifs effectifs, les hypothèses de service, l’overhead d’architecture et un volume de tokens pondéré.",3.5000,screening_prior,Project screening prior (20 training tokens per retained parameter),,pretraining,screening_prior,Project screening simplification over GPT-3.5 base pretraining plus ChatGPT post-training,https://openai.com/blog/chatgpt,no,OpenAI ChatGPT blog,https://openai.com/blog/chatgpt,standard_gpu_cluster,OpenAI ChatGPT blog,https://openai.com/blog/chatgpt,training_multifactor_proxy_v1,BLOOM 176B (luccioni2023_bloom_dynamic); BLOOM 176B (luccioni2023_bloom_extended); Llama 3.1 70B (meta2024_llama70b_emissions); Llama 3.1 405B (meta2024_llama405b_emissions); Llama 4 Scout (meta2025_llama4_scout_emissions); Llama 4 Maverick (meta2025_llama4_maverick_emissions),0.8500,1.0000,1.1500,0.7000,1.0000,1.2000,0.8000,1.0000,1.2000,1.0000,1.0000,1.0000,0.9500,1.0500,1.1500,578649051.3039,578649051.3039,644166513.0472,120.9442,126.0735,173.3444,"Central estimate = median of comparable literature training anchors scaled by retained parameter count, training-token prior, training regime, architecture profile, and hardware-class proxy. Low/high values widen the parameter and token exponents together with contextual factors."
gpt-4,GPT-4,openai,api,closed,United States,multi_region,OpenAI GPT-4 research release,https://openai.com/research/gpt-4,US,screening_proxy,OpenAI GPT-4 research release,https://openai.com/research/gpt-4,440,1760,estimated,low,Third-party parameter estimate from Exploding Topics,https://explodingtopics.com/blog/gpt-parameters,"GPT-4 (Mar 2023) is treated as a multimodal MoE-style transformer with ~1.76T total parameters and ~440B active parameters in the central screening profile, based on widely cited public estimates.","text,image",text,8192,8192,yes,An Azure-hosted multimodal transformer with MoE-style routing and RLHF described in the GPT-4 research announcement.,OpenAI GPT-4 research release,https://openai.com/research/gpt-4,OpenAI GPT-4 research release,https://openai.com/research/gpt-4,OpenAI GPT-4 research release,https://openai.com/research/gpt-4,2023-03-14,OpenAI GPT-4 research release,https://openai.com/research/gpt-4,market_multifactor_prompt_proxy_v1,Elsworth et al. (2025) Gemini Apps median prompt = 0.24 Wh/prompt,518.3482,599.3117,694.0032,0.5897,0.7524,0.9899,0.2270,0.2897,0.3811,20.4036,26.0330,34.2505,7.8542,10.0236,13.1861,"Proxy de screening en énergie par prompt calibré sur Elsworth et al. (2025), puis ajusté par les paramètres actifs effectifs, les hypothèses de service, l’overhead d’architecture et un volume de tokens pondéré.",6.0000,screening_prior,Assumed same proxy as GPT-5 series,,pretraining,documented,OpenAI GPT-4 technical report,https://cdn.openai.com/papers/gpt-4.pdf,yes,OpenAI GPT-4 research release,https://openai.com/research/gpt-4,modern_hyperscale_gpu,OpenAI GPT-4 research release,https://openai.com/research/gpt-4,training_multifactor_proxy_v1,BLOOM 176B (luccioni2023_bloom_dynamic); BLOOM 176B (luccioni2023_bloom_extended); Llama 3.1 405B (meta2024_llama405b_emissions); Llama 4 Scout (meta2025_llama4_scout_emissions); Llama 4 Maverick (meta2025_llama4_maverick_emissions),0.8500,1.0000,1.1500,0.7000,1.0000,1.2000,0.8000,1.0000,1.2000,0.7350,1.0350,1.4850,0.8000,0.9000,1.0000,3814308522.2751,8850476041.2323,22582520691.7956,430.4987,801.8310,2410.6235,"Central estimate = median of comparable literature training anchors scaled by retained parameter count, training-token prior, training regime, architecture profile, and hardware-class proxy. Low/high values widen the parameter and token exponents together with contextual factors."
claude-2,Claude 2,anthropic,api,closed,Not publicly specified,non_specified,Anthropic Claude overview,https://docs.anthropic.com/en/docs/about-claude/models/overview,US,screening_proxy,Anthropic Claude overview,https://docs.anthropic.com/en/docs/about-claude/models/overview,100,100,estimated,low,Third-party screening estimate from Alan D. Thompson Models Table,https://lifearchitect.ai/models-table/,Anthropic does not publish parameter counts for Claude 2; the project retains third-party estimates for comparison.,text,text,200000,64000,yes,Decoder-only transformer tuned with RLHF; multimodal ready.,Anthropic Claude overview,https://docs.anthropic.com/en/docs/about-claude/models/overview,Anthropic Claude overview,https://docs.anthropic.com/en/docs/about-claude/models/overview,Anthropic Claude overview,https://docs.anthropic.com/en/docs/about-claude/models/overview,2023-03-22,Claude 2 announcement | Anthropic,https://www.anthropic.com/news/claude-2,market_multifactor_prompt_proxy_v1,Elsworth et al. (2025) Gemini Apps median prompt = 0.24 Wh/prompt,114.7732,128.1448,143.7973,0.1637,0.1738,0.1896,0.0630,0.0669,0.0730,5.6640,6.0135,6.5602,2.1798,2.3147,2.5258,"Proxy de screening en énergie par prompt calibré sur Elsworth et al. (2025), puis ajusté par les paramètres actifs effectifs, les hypothèses de service, l’overhead d’architecture et un volume de tokens pondéré.",2.0000,screening_prior,Project screening prior (20 training tokens per retained parameter),,pretraining,screening_prior,Claude 2 announcement | Anthropic,https://www.anthropic.com/news/claude-2,yes,https://docs.anthropic.com/en/docs/about-claude/models/overview,https://docs.anthropic.com/en/docs/about-claude/models/overview,modern_hyperscale_gpu,,,training_multifactor_proxy_v1,BLOOM 176B (luccioni2023_bloom_dynamic); BLOOM 176B (luccioni2023_bloom_extended); Llama 3.1 8B (meta2024_llama8b_emissions); Llama 3.1 70B (meta2024_llama70b_emissions); Llama 3.1 405B (meta2024_llama405b_emissions); Llama 4 Scout (meta2025_llama4_scout_emissions); Llama 4 Maverick (meta2025_llama4_maverick_emissions),0.8500,1.0000,1.1500,0.7000,1.0000,1.2000,0.8000,1.0000,1.2000,1.0500,1.1500,1.3500,0.8000,0.9000,1.0000,186247391.4401,186247391.4401,220621144.0346,54.5578,64.2839,103.8615,"Central estimate = median of comparable literature training anchors scaled by retained parameter count, training-token prior, training regime, architecture profile, and hardware-class proxy. Low/high values widen the parameter and token exponents together with contextual factors."
